Nom de la Station,Nom de la ligne,Niveau de pollution,pollution_num,stop_lat,stop_lon
Blanche,Métro 2,MOYENNE,2,48.88376635447715,2.3324843754343627
Bonne Nouvelle,Métro 8,MOYENNE,2,48.87048144580479,2.348496122542364
Cadet,Métro 7,FAIBLE,1,48.87604838013132,2.344383883779656
Champs-Elysées - Clemenceau,Métro 1,FAIBLE,1,48.86758395955256,2.314397292025236
Chardon Lagache,Métro 10,FAIBLE,1,48.84508829917885,2.26690547594029
Château Landon,Métro 7,MOYENNE,2,48.87844145573239,2.3620179355106075
Cluny - La Sorbonne,Métro 10,MOYENNE,2,48.850793731720536,2.3450218824744566
Corentin Celton,Métro 12,MOYENNE,2,48.82682329515912,2.2789586605256367
Denfert-Rochereau,Métro 6,MOYENNE,2,48.83424986732888,2.332803776289825
Edgar Quinet,Métro 6,MOYENNE,2,48.84098044632817,2.3253749636089105
Europe,Métro 3,FAIBLE,1,48.87875316404477,2.32218591952051
Fort d'Aubervilliers,Métro 7,MOYENNE,2,48.91475665506255,2.404075377271855
Gabriel Péri,Métro 13,MOYENNE,2,48.91634741814672,2.29460408001733
Havre-Caumartin,Métro 9,MOYENNE,2,48.8737568325288,2.327677208279404
Havre-Caumartin,Métro 3,FAIBLE,1,48.87346783937801,2.327462798423509
Hoche,Métro 5,MOYENNE,2,48.8914957494373,2.403114154894396
Hôtel de Ville,Métro 11,MOYENNE,2,48.85760073633446,2.3514239919428728
La Tour-Maubourg,Métro 8,FAIBLE,1,48.85766922956403,2.310588789873988
Le Peletier,Métro 7,FAIBLE,1,48.87485179367072,2.340206459456337
Ledru-Rollin,Métro 8,MOYENNE,2,48.85133776679838,2.376141223318593
Louvre - Rivoli,Métro 1,FAIBLE,1,48.86090733426327,2.3409964272720227
Mairie de Clichy,Métro 13,MOYENNE,2,48.90349897462669,2.3058484063578857
Mairie de Saint-Ouen,Métro 14,MOYENNE,2,48.91164217552501,2.333545807213269
Mairie de Saint-Ouen,Métro 13,MOYENNE,2,48.911958864732505,2.333893080685357
Marcadet - Poissonniers,Métro 12,MOYENNE,2,48.89154760285429,2.3500246218070155
Michel-Ange - Auteuil,Métro 10,MOYENNE,2,48.84797535417627,2.263989525333329
Mirabeau,Métro 10,MOYENNE,2,48.84707750734599,2.2730641263728333
Montgallet,Métro 8,FAIBLE,1,48.84400507570895,2.3904000136353645
Montparnasse Bienvenue,Métro 4,FAIBLE,1,48.84385251452581,2.3243294607791096
Opéra,Métro 8,FAIBLE,1,48.87059812248669,2.332135072925294
Opéra,Métro 7,FAIBLE,1,48.87030303390994,2.3324387808144875
Ourcq,Métro 5,ELEVE,3,48.88714990283661,2.3866765356019912
Palais Royal - Musée du Louvre,Métro 1,MOYENNE,2,48.86222226557415,2.336454367754252
Père Lachaise,Métro 2,ELEVE,3,48.86248637862667,2.387689326065689
Pernety,Métro 13,FAIBLE,1,48.83416372097089,2.318323659736018
Pigalle,Métro 12,MOYENNE,2,48.88201178841109,2.3371840091053384
Poissonnière,Métro 7,FAIBLE,1,48.87716484925024,2.3487397513900734
Pont Cardinet,Métro 14,MOYENNE,2,48.8881023898884,2.3151908648850013
Pont de Sèvres,Métro 9,MOYENNE,2,48.82966919074605,2.230505217088554
