station1,station2,connected,temps_trajet_min,pollution_moyenne,pollution_station1,pollution_station2,lat_station1,lon_station1,lat_station2,lon_station2,ligne_metro
Miromesnil,Champs-Elysées - Clemenceau,True,0.63,1.0,FAIBLE,FAIBLE,48.87344791579522,2.3160106931210245,48.86750083759083,2.31401668387612,Métro 13
Miromesnil,Saint-Lazare,True,0.67,1.0,FAIBLE,FAIBLE,48.87344791579522,2.3160106931210245,48.87538131600797,2.325488390672613,Métro 13
Gabriel Péri,Mairie de Clichy,True,1.52,2.0,MOYENNE,MOYENNE,48.91634741814672,2.29460408001733,48.90349897462669,2.3058484063578857,Métro 13
Pernety,Plaisance,True,0.39,1.5,FAIBLE,MOYENNE,48.83416372097089,2.318323659736018,48.83175036306747,2.313860489344306,Métro 13
Saint-François-Xavier,Duroc,True,0.46,2.0,MOYENNE,MOYENNE,48.8512787565696,2.314407403528732,48.84699198555429,2.316535081176305,Métro 13
Saint-François-Xavier,Varenne,True,0.55,2.0,MOYENNE,MOYENNE,48.8512787565696,2.314407403528732,48.85662420264694,2.3149776470363417,Métro 13
Malakoff - Plateau de Vanves,Malakoff - Rue Etienne Dolet,True,0.71,1.0,FAIBLE,FAIBLE,48.82220756804045,2.298295381702497,48.81533836595972,2.2971240100835835,Métro 13
Malakoff - Plateau de Vanves,Porte de Vanves,True,0.73,1.0,FAIBLE,FAIBLE,48.82220756804045,2.298295381702497,48.82761346400429,2.305332386657473,Métro 13
Plaisance,Porte de Vanves,True,0.72,1.5,MOYENNE,FAIBLE,48.83175036306747,2.313860489344306,48.82761346400429,2.305332386657473,Métro 13
Châtillon-Montrouge,Malakoff - Rue Etienne Dolet,True,0.56,1.0,FAIBLE,FAIBLE,48.81075140670139,2.301717705004608,48.81533836595972,2.2971240100835835,Métro 13
Madeleine,Saint-Lazare,True,0.54,2.0,MOYENNE,MOYENNE,48.87054467671624,2.3258100487932776,48.87566085467199,2.3240258961246782,Métro 14
Madeleine,Pyramides,True,0.77,1.5,MOYENNE,FAIBLE,48.87054467671624,2.3258100487932776,48.86575552737676,2.3346236060049232,Métro 14
Bibliothèque François Mitterrand,Olympiades,True,0.71,1.5,FAIBLE,MOYENNE,48.829925765928905,2.376487371168301,48.82694415504304,2.367034270941924,Métro 14
Bibliothèque François Mitterrand,Cour Saint-Emilion,True,0.77,1.0,FAIBLE,FAIBLE,48.829925765928905,2.376487371168301,48.83331930384343,2.386617850214058,Métro 14
Cour Saint-Emilion,Bercy,True,0.86,1.0,FAIBLE,FAIBLE,48.83331930384343,2.386617850214058,48.84010199803391,2.379062015227724,Métro 14
Olympiades,Maison Blanche,True,0.81,2.0,MOYENNE,MOYENNE,48.82694415504304,2.367034270941924,48.82120786862075,2.3589182598590392,Métro 14
Saint-Ouen,Mairie de Saint-Ouen,True,0.99,2.0,MOYENNE,MOYENNE,48.90516956991565,2.3227559546697414,48.91164217552501,2.333545807213269,Métro 14
Saint-Ouen,Porte de Clichy,True,1.28,2.0,MOYENNE,MOYENNE,48.90516956991565,2.3227559546697414,48.89428867785142,2.313431869544054,Métro 14
Bercy,Gare de Lyon,True,0.62,1.5,FAIBLE,MOYENNE,48.84010199803391,2.379062015227724,48.84467563174822,2.373100581933962,Métro 14
Châtelet,Pyramides,True,1.02,1.5,MOYENNE,FAIBLE,48.85955653272677,2.346411849769497,48.86575552737676,2.3346236060049232,Métro 14
Châtelet,Gare de Lyon,True,2.37,2.0,MOYENNE,MOYENNE,48.85955653272677,2.346411849769497,48.84467563174822,2.373100581933962,Métro 14
Saint-Lazare,Pont Cardinet,True,1.41,2.0,MOYENNE,MOYENNE,48.87566085467199,2.3240258961246782,48.8881023898884,2.3151908648850013,Métro 14
Mairie de Saint-Ouen,Saint-Denis - Pleyel,True,1.11,2.0,MOYENNE,MOYENNE,48.91164217552501,2.333545807213269,48.91873375567987,2.345886129823062,Métro 14
Pont Cardinet,Porte de Clichy,True,0.65,2.0,MOYENNE,MOYENNE,48.8881023898884,2.3151908648850013,48.89428867785142,2.313431869544054,Métro 14
Aéroport d'Orly,Thiais - Orly (Pont de Rungis),True,2.06,1.0,FAIBLE,FAIBLE,48.72791074498099,2.3621434233506027,48.74683536938685,2.3723847511214924,Métro 14
L'Haÿ-les-Roses,Chevilly-Larue (Marché International),True,1.92,1.0,FAIBLE,FAIBLE,48.77532646395088,2.354991210566311,48.75848356146962,2.367374604185919,Métro 14
L'Haÿ-les-Roses,Hôpital Bicêtre,True,3.57,1.5,FAIBLE,MOYENNE,48.77532646395088,2.354991210566311,48.809971090725966,2.349946533239157,Métro 14
Hôpital Bicêtre,Maison Blanche,True,1.3,2.0,MOYENNE,MOYENNE,48.809971090725966,2.349946533239157,48.82120786862075,2.3589182598590392,Métro 14
Thiais - Orly (Pont de Rungis),Chevilly-Larue (Marché International),True,1.24,1.0,FAIBLE,FAIBLE,48.74683536938685,2.3723847511214924,48.75848356146962,2.367374604185919,Métro 14
Avron,Nation,True,0.37,2.0,MOYENNE,MOYENNE,48.85164854359716,2.3981875566593973,48.84845279707999,2.395798835112525,Métro 2
